EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Hours,Shift
1886378,40,No,Travel_Frequently,Nursing,5,4,Life Sciences,Male,48,3,Nurse,1,Married,10475,23772,5,Y,No,4,40,20,2,3,18,13,1,12,12,0
1886039,35,No,Travel_Rarely,Care,1,3,Medical,Male,30,1,Other,3,Single,2859,26278,1,Y,No,3,40,6,3,3,6,4,0,4,12,0
1885928,29,No,Travel_Rarely,Care,8,1,Medical,Male,79,2,Therapist,4,Married,5056,17689,1,Y,No,3,40,10,2,2,10,7,1,2,12,0
1884939,24,Yes,Travel_Rarely,Care,1,3,Medical,Male,61,1,Other,4,Married,2293,3020,2,Y,No,3,40,6,2,2,2,0,2,0,0,0
1884938,28,No,Non-Travel,Dietary,16,3,Medical,Male,49,1,Other,3,Single,2144,2122,1,Y,No,3,40,5,3,2,5,3,1,4,12,1
1884554,34,No,Travel_Rarely,Nursing,21,4,Life Sciences,Male,74,2,Nurse,4,Single,5337,19921,1,Y,No,3,40,10,3,3,10,7,5,7,12,0
1883822,27,No,Non-Travel,Care,9,3,Medical,Male,57,1,Other,2,Divorced,2024,5970,6,Y,No,3,40,6,1,1,2,2,2,2,12,0
1883424,40,Yes,Travel_Rarely,Care,7,3,Life Sciences,Male,73,1,Nurse,1,Single,2166,3339,3,Y,No,3,40,10,3,1,4,2,0,3,12,0
1882668,42,No,Travel_Rarely,Care,24,3,Medical,Male,56,3,Therapist,1,Married,7406,6950,1,Y,No,4,40,10,5,2,10,9,5,8,12,1
1881631,41,No,Travel_Rarely,Dietary,12,3,Technical Degree,Female,49,5,Other,3,Married,19545,16280,1,Y,No,3,40,23,0,3,22,15,15,8,12,1
1880660,37,No,Travel_Rarely,Nursing,9,2,Marketing,Male,46,2,Nurse,2,Married,4189,8800,1,Y,No,3,40,5,2,3,5,2,0,3,12,0
1880248,37,No,Travel_Rarely,Dietary,7,4,Medical,Male,30,3,Other,3,Single,13664,25258,4,Y,No,3,40,16,3,4,5,2,0,2,12,0
1880078,21,No,Travel_Rarely,Care,15,2,Life Sciences,Male,96,1,Other,4,Single,1232,19281,1,Y,No,3,40,0,6,3,0,0,0,0,12,1
1879823,42,No,Travel_Rarely,Care,2,3,Medical,Male,68,1,Nurse,2,Married,4841,24052,4,Y,No,3,40,4,3,3,1,0,0,0,12,1
